effect,group,term,estimate,std.error,statistic
ran_pars,item_id,sd__(Intercept),0.1414407393444315,NA,NA
ran_pars,Residual,sd__Observation,0.9878249987367247,NA,NA
fixed,NA,(Intercept),4.53450552794182,0.10452435661198764,43.382285956321965
fixed,NA,cat,0.5448360695073137,0.23205437628555403,2.3478810364552953
ran_pars,subj_id,sd__(Intercept),0.4850485493782777,NA,NA
ran_pars,subj_id,sd__cat,0.36832973079820014,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.8490286343470131,NA,NA
ran_pars,item_id,sd__(Intercept),0.13589515736162844,NA,NA
ran_pars,Residual,sd__Observation,0.9621774275975294,NA,NA
fixed,NA,(Intercept),4.382355605561945,0.10644296197577494,41.17092876990132
fixed,NA,cat,0.1660890079362403,0.29253962958238927,0.5677487462923853
ran_pars,subj_id,sd__(Intercept),0.4641671029445182,NA,NA
ran_pars,subj_id,sd__cat,0.7590458771220306,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.23727272310401853,NA,NA
ran_pars,item_id,sd__(Intercept),0.18103393021389752,NA,NA
ran_pars,Residual,sd__Observation,1.0040089073555947,NA,NA
fixed,NA,(Intercept),4.510428766690196,0.11149003338784694,40.455892151359414
fixed,NA,cat,0.4534304722749996,0.26130969578657326,1.7352225332095694
ran_pars,subj_id,sd__(Intercept),0.5065217589858565,NA,NA
ran_pars,subj_id,sd__cat,0.43254845863212255,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.42403647234906744,NA,NA
ran_pars,item_id,sd__(Intercept),0.16841624143646747,NA,NA
ran_pars,Residual,sd__Observation,1.0052182016405806,NA,NA
